"6.5.3. Generation of municipal waste removed by public services (2006?) [tons]";"";"";"";"";"";"";"";""
"Regions";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"$Waste removed from households";"";"";"";"";"";"";"";""
"Budapest";"485,703";"420,926";"415,776";"437,875";"440,623";"429,201";"361,206";"362,651"
"Pest ";"360,186";"353,950";"333,040";"318,398";"312,431";"297,648";"294,187";"285,599"
"Central Hungary";"845,889";"774,875";"748,815";"756,273";"753,054";"726,849";"655,393";"648,250"
"Fejér";"136,781";"119,424";"110,893";"104,163";"100,506";"101,035";"96,415";"92,728"
"Komárom-Esztergom";"112,026";"86,750";"87,279";"82,403";"76,054";"73,043";"71,376";"68,238"
"Veszprém";"122,922";"122,772";"107,511";"100,646";"90,653";"82,552";"77,955";"74,014"
"Central Transdanubia";"371,728";"328,946";"305,683";"287,213";"267,213";"256,631";"245,746";"234,979"
"Gyõr-Moson-Sopron";"149,928";"135,197";"121,763";"121,939";"111,792";"100,162";"88,368";"85,149"
"Vas";"57,393";"57,177";"60,074";"56,678";"54,704";"53,651";"53,195";"49,602"
"Zala";"64,469";"70,958";"68,328";"69,141";"70,196";"66,731";"57,353";"56,992"
"Western Transdanubia";"271,789";"263,332";"250,164";"247,758";"236,692";"220,545";"198,916";"191,743"
"Baranya";"136,449";"135,393";"136,198";"142,620";"113,372";"100,835";"90,372";"97,343"
"Somogy";"98,433";"106,712";"119,936";"105,862";"91,291";"81,132";"67,928";"68,727"
"Tolna";"69,244";"67,864";"74,052";"60,848";"60,795";"60,882";"59,734";"54,473"
"Southern Transdanubia";"304,126";"309,969";"330,185";"309,330";"265,458";"242,849";"218,035";"220,543"
"Transdanubia";"947,643";"902,247";"886,032";"844,300";"769,363";"720,025";"662,698";"647,266"
"Borsod-Abaúj-Zemplén";"181,337";"182,187";"191,602";"162,962";"166,996";"159,058";"155,331";"144,265"
"Heves";"90,317";"74,380";"80,394";"76,806";"76,490";"69,315";"70,870";"67,520"
"Nógrád";"58,398";"58,681";"61,004";"52,413";"54,642";"51,212";"44,451";"42,151"
"Northern Hungary";"330,052";"315,248";"333,001";"292,182";"298,128";"279,584";"270,652";"253,936"
"Hajdú-Bihar";"128,061";"118,937";"124,136";"128,760";"129,352";"124,840";"126,917";"117,332"
"Jász-Nagykun-Szolnok";"148,970";"98,294";"98,708";"92,204";"92,593";"90,399";"86,948";"86,486"
"Szabolcs-Szatmár-Bereg";"136,175";"132,968";"142,167";"132,663";"127,294";"114,165";"104,928";"102,938"
"Northern Great Plain";"413,206";"350,199";"365,011";"353,626";"349,239";"329,404";"318,793";"306,756"
"Bács-Kiskun";"116,319";"154,392";"160,200";"126,397";"123,732";"119,203";"113,707";"105,028"
"Békés";"84,555";"85,599";"88,523";"82,579";"79,368";"80,260";"78,121";"76,197"
"Csongrád";"145,996";"108,914";"94,450";"94,438";"91,871";"93,925";"88,416";"88,166"
"Southern Great Plain";"346,870";"348,906";"343,172";"303,415";"294,971";"293,387";"280,244";"269,391"
"Great Plain and North";"1,090,128";"1,014,352";"1,041,184";"949,223";"942,338";"902,375";"869,689";"830,082"
"Country total";"2,883,661";"2,691,475";"2,676,032";"2,549,797";"2,464,756";"2,349,249";"2,187,780";"2,125,598"
"$Of which: separately collected waste fractions removed from households";"";"";"";"";"";"";"";""
"Budapest";"?";"?";"11,808";"15,789";"20,706";"17,763";"27,955";"26,688"
"Pest ";"11,238";"9,847";"7,958";"13,399";"18,370";"18,645";"25,190";"19,925"
"Central Hungary";"11,238";"9,847";"19,766";"29,188";"39,076";"36,408";"53,144";"46,613"
"Fejér";"758";"7";"150";"1,806";"2,648";"4,223";"4,596";"5,796"
"Komárom-Esztergom";"?";"?";"143";"?";"1,077";"933";"804";"838"
"Veszprém";"148";"215";"679";"309";"2,347";"1,219";"1,617";"1,558"
"Central Transdanubia";"906";"222";"972";"2,115";"6,072";"6,375";"7,018";"8,192"
"Gyõr-Moson-Sopron";"640";"?";"?";"205";"13,947";"9,529";"10,411";"7,466"
"Vas";"1,063";"2,398";"2,261";"2,915";"828";"1,470";"2,295";"3,006"
"Zala";"1,362";"1,610";"800";"3,844";"6,178";"5,100";"5,499";"5,903"
"Western Transdanubia";"3,064";"4,008";"3,061";"6,965";"20,953";"16,098";"18,205";"16,375"
"Baranya";"2,328";"159";"487";"913";"1,148";"1,032";"572";"6,251"
"Somogy";"2,994";"2,584";"3,271";"2,471";"618";"577";"1,562";"2,580"
"Tolna";"?";"39";"14";"81";"47";"1,302";"2,760";"1,838"
"Southern Transdanubia";"5,322";"2,782";"3,772";"3,465";"1,813";"2,911";"4,894";"10,669"
"Transdanubia";"9,292";"7,012";"7,805";"12,544";"28,838";"25,384";"30,117";"35,236"
